timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1610139531156,91,dashboard,200,OK,Scenario 1 1-17,text,true,,12429,322,10,10,http://192.168.1.10:5005/dashboard,91,0,29
1610139531090,198,Home Page,200,OK,Scenario 1 1-13,text,true,,51151,313,10,10,http://192.168.1.10:5005/,69,0,16
1610139531121,202,Home Page,200,OK,Scenario 1 1-9,text,true,,51151,313,10,10,http://192.168.1.10:5005/,64,0,33
1610139531243,114,dashboard,200,OK,Scenario 1 1-11,text,true,,12429,322,10,10,http://192.168.1.10:5005/dashboard,114,0,45
1610139531141,244,Home Page,200,OK,Scenario 1 1-14,text,true,,51151,313,10,10,http://192.168.1.10:5005/,100,0,44
1610139531289,105,dashboard,200,OK,Scenario 1 1-13,text,true,,12429,322,10,10,http://192.168.1.10:5005/dashboard,104,0,49
1610139531324,96,dashboard,200,OK,Scenario 1 1-9,text,true,,12429,322,10,10,http://192.168.1.10:5005/dashboard,94,0,50
1610139531090,346,Buat Instance,200,OK,Scenario 1 1-15,text,true,,15626,321,10,10,http://192.168.1.10:5005/buatbaru,289,0,16
1610139531386,131,dashboard,200,OK,Scenario 1 1-14,text,true,,12429,322,10,10,http://192.168.1.10:5005/dashboard,130,0,75
1610139531248,356,Buat Instance,200,OK,Scenario 1 1-17,text,true,,15626,321,10,10,http://192.168.1.10:5005/buatbaru,323,0,42
1610139531358,346,Buat Instance,200,OK,Scenario 1 1-11,text,true,,15626,321,10,10,http://192.168.1.10:5005/buatbaru,331,0,55
1610139531395,389,Buat Instance,200,OK,Scenario 1 1-13,text,true,,15626,321,10,10,http://192.168.1.10:5005/buatbaru,370,0,66
1610139531748,45,Page Returning 404,404,NOT FOUND,Scenario 1 1-12,text,true,,393,317,10,10,http://192.168.1.10:5005/test,44,0,16
1610139531759,38,Page Returning 404,404,NOT FOUND,Scenario 1 1-16,text,true,,393,317,10,10,http://192.168.1.10:5005/test,38,0,25
1610139531421,390,Buat Instance,200,OK,Scenario 1 1-9,text,true,,15626,321,10,10,http://192.168.1.10:5005/buatbaru,371,0,45
1610139531518,387,Buat Instance,200,OK,Scenario 1 1-14,text,true,,15626,321,11,11,http://192.168.1.10:5005/buatbaru,355,0,46
1610139531793,206,Home Page,200,OK,Scenario 1 1-12,text,true,,51151,313,11,11,http://192.168.1.10:5005/,52,0,18
1610139531798,229,Home Page,200,OK,Scenario 1 1-16,text,true,,51151,313,11,11,http://192.168.1.10:5005/,107,0,14
1610139531891,187,Home Page,200,OK,Scenario 1 1-18,text,true,,51151,313,11,11,http://192.168.1.10:5005/,77,0,33
1610139532000,104,dashboard,200,OK,Scenario 1 1-12,text,true,,12429,322,11,11,http://192.168.1.10:5005/dashboard,80,0,44
1610139532028,94,dashboard,200,OK,Scenario 1 1-16,text,true,,12429,322,11,11,http://192.168.1.10:5005/dashboard,94,0,38
1610139532079,81,dashboard,200,OK,Scenario 1 1-18,text,true,,12429,322,11,11,http://192.168.1.10:5005/dashboard,77,0,43
1610139532143,120,Page Returning 404,404,NOT FOUND,Scenario 1 1-10,text,true,,393,317,11,11,http://192.168.1.10:5005/test,120,0,42
1610139532297,65,Page Returning 404,404,NOT FOUND,Scenario 1 1-8,text,true,,393,317,11,11,http://192.168.1.10:5005/test,65,0,34
1610139532105,390,Buat Instance,200,OK,Scenario 1 1-12,text,true,,15626,321,10,10,http://192.168.1.10:5005/buatbaru,339,0,48
1610139532123,402,Buat Instance,200,OK,Scenario 1 1-16,text,true,,15626,321,10,10,http://192.168.1.10:5005/buatbaru,350,0,32
1610139532264,261,Home Page,200,OK,Scenario 1 1-10,text,true,,51151,313,10,10,http://192.168.1.10:5005/,98,0,52
1610139532161,487,Buat Instance,200,OK,Scenario 1 1-18,text,true,,15626,321,10,10,http://192.168.1.10:5005/buatbaru,328,0,46
1610139532522,202,Page Returning 404,404,NOT FOUND,Scenario 1 1-15,text,true,,393,317,10,10,http://192.168.1.10:5005/test,202,0,161
1610139532526,223,dashboard,200,OK,Scenario 1 1-10,text,true,,12429,322,10,10,http://192.168.1.10:5005/dashboard,219,0,198
1610139532684,65,Page Returning 404,404,NOT FOUND,Scenario 1 1-17,text,true,,393,317,10,10,http://192.168.1.10:5005/test,65,0,40
1610139532725,117,Home Page,200,OK,Scenario 1 1-15,text,true,,51151,313,10,10,http://192.168.1.10:5005/,30,0,17
1610139532802,83,Page Returning 404,404,NOT FOUND,Scenario 1 1-11,text,true,,393,317,10,10,http://192.168.1.10:5005/test,82,0,17
1610139532790,95,Page Returning 404,404,NOT FOUND,Scenario 1 1-13,text,true,,393,317,10,10,http://192.168.1.10:5005/test,94,0,29
1610139532823,64,Page Returning 404,404,NOT FOUND,Scenario 1 1-9,text,true,,393,317,10,10,http://192.168.1.10:5005/test,64,0,20
1610139532750,153,Home Page,200,OK,Scenario 1 1-17,text,true,,51151,313,10,10,http://192.168.1.10:5005/,71,0,18
1610139532843,71,dashboard,200,OK,Scenario 1 1-15,text,true,,12429,322,10,10,http://192.168.1.10:5005/dashboard,69,0,30
1610139532904,56,dashboard,200,OK,Scenario 1 1-17,text,true,,12429,322,10,10,http://192.168.1.10:5005/dashboard,54,0,6
1610139532959,148,Page Returning 404,404,NOT FOUND,Scenario 1 1-14,text,true,,393,317,10,10,http://192.168.1.10:5005/test,148,0,87
1610139532885,233,Home Page,200,OK,Scenario 1 1-13,text,true,,51151,313,10,10,http://192.168.1.10:5005/,66,0,24
1610139532885,233,Home Page,200,OK,Scenario 1 1-11,text,true,,51151,313,10,10,http://192.168.1.10:5005/,66,0,24
1610139532749,378,Buat Instance,200,OK,Scenario 1 1-10,text,true,,15626,321,10,10,http://192.168.1.10:5005/buatbaru,328,0,19
1610139532891,244,Home Page,200,OK,Scenario 1 1-19,text,true,,51151,313,10,10,http://192.168.1.10:5005/,61,0,18
1610139533118,160,dashboard,200,OK,Scenario 1 1-13,text,true,,12429,322,10,10,http://192.168.1.10:5005/dashboard,159,0,71
1610139533135,160,dashboard,200,OK,Scenario 1 1-19,text,true,,12429,322,10,10,http://192.168.1.10:5005/dashboard,152,0,54
1610139533118,184,dashboard,200,OK,Scenario 1 1-11,text,true,,12429,322,10,10,http://192.168.1.10:5005/dashboard,182,0,71
1610139532915,392,Buat Instance,200,OK,Scenario 1 1-15,text,true,,15626,321,10,10,http://192.168.1.10:5005/buatbaru,309,0,36
1610139532961,391,Buat Instance,200,OK,Scenario 1 1-17,text,true,,15626,321,10,10,http://192.168.1.10:5005/buatbaru,345,0,85
1610139533108,282,Home Page,200,OK,Scenario 1 1-14,text,true,,51151,313,10,10,http://192.168.1.10:5005/,140,0,79
1610139533391,96,dashboard,200,OK,Scenario 1 1-14,text,true,,12429,322,10,10,http://192.168.1.10:5005/dashboard,73,0,53
1610139533535,17,Page Returning 404,404,NOT FOUND,Scenario 1 1-16,text,true,,393,317,10,10,http://192.168.1.10:5005/test,17,0,7
1610139533279,377,Buat Instance,200,OK,Scenario 1 1-13,text,true,,15626,321,10,10,http://192.168.1.10:5005/buatbaru,355,0,48
1610139533584,72,Page Returning 404,404,NOT FOUND,Scenario 1 1-12,text,true,,393,317,10,10,http://192.168.1.10:5005/test,72,0,39
1610139533303,353,Buat Instance,200,OK,Scenario 1 1-11,text,true,,15626,321,10,10,http://192.168.1.10:5005/buatbaru,320,0,28
1610139533553,166,Home Page,200,OK,Scenario 1 1-16,text,true,,51151,313,10,10,http://192.168.1.10:5005/,39,0,5
1610139533296,451,Buat Instance,200,OK,Scenario 1 1-19,text,true,,15626,321,10,10,http://192.168.1.10:5005/buatbaru,404,0,31
1610139533720,104,dashboard,200,OK,Scenario 1 1-16,text,true,,12429,322,10,10,http://192.168.1.10:5005/dashboard,91,0,28
1610139533748,86,Page Returning 404,404,NOT FOUND,Scenario 1 1-18,text,true,,393,317,10,10,http://192.168.1.10:5005/test,86,0,59
1610139533489,363,Buat Instance,200,OK,Scenario 1 1-14,text,true,,15626,321,10,10,http://192.168.1.10:5005/buatbaru,335,0,11
1610139533657,196,Home Page,200,OK,Scenario 1 1-12,text,true,,51151,313,10,10,http://192.168.1.10:5005/,91,0,62
1610139533854,59,dashboard,200,OK,Scenario 1 1-12,text,true,,12429,322,11,11,http://192.168.1.10:5005/dashboard,56,0,16
1610139533835,169,Home Page,200,OK,Scenario 1 1-18,text,true,,51151,313,11,11,http://192.168.1.10:5005/,71,0,35
1610139533891,215,Home Page,200,OK,Scenario 1 1-20,text,true,,51151,313,11,11,http://192.168.1.10:5005/,68,0,31
1610139533825,284,Buat Instance,200,OK,Scenario 1 1-16,text,true,,15626,321,11,11,http://192.168.1.10:5005/buatbaru,258,0,27
1610139533914,450,Buat Instance,200,OK,Scenario 1 1-12,text,true,,15626,321,11,11,http://192.168.1.10:5005/buatbaru,346,0,34
1610139534107,263,dashboard,200,OK,Scenario 1 1-20,text,true,,12429,322,11,11,http://192.168.1.10:5005/dashboard,258,0,130
1610139534185,251,Page Returning 404,404,NOT FOUND,Scenario 1 1-10,text,true,,393,317,11,11,http://192.168.1.10:5005/test,251,0,132
1610139534318,214,Page Returning 404,404,NOT FOUND,Scenario 1 1-15,text,true,,393,317,10,10,http://192.168.1.10:5005/test,214,0,118
1610139534355,177,Page Returning 404,404,NOT FOUND,Scenario 1 1-17,text,true,,393,317,10,10,http://192.168.1.10:5005/test,177,0,98
1610139534004,632,dashboard,200,OK,Scenario 1 1-18,text,true,,12429,322,10,10,http://192.168.1.10:5005/dashboard,105,0,44
1610139534637,3219,Buat Instance,200,OK,Scenario 1 1-18,text,true,,15626,321,13,13,http://192.168.1.10:5005/buatbaru,3219,0,103
1610139534371,3486,Buat Instance,200,OK,Scenario 1 1-20,text,true,,15626,321,13,13,http://192.168.1.10:5005/buatbaru,3486,0,96
1610139534667,3192,Page Returning 404,404,NOT FOUND,Scenario 1 1-13,text,true,,393,317,13,13,http://192.168.1.10:5005/test,3191,0,102
1610139534533,3327,Home Page,200,OK,Scenario 1 1-17,text,true,,51151,313,13,13,http://192.168.1.10:5005/,222,0,59
1610139534533,3327,Home Page,200,OK,Scenario 1 1-15,text,true,,51151,313,13,13,http://192.168.1.10:5005/,218,0,59
